Time,Relative Humidity
0,52.3886
1,52.853
2,52.5776
3,54.8726
4,56.6888
5,59.846
6,64.5908
7,65.372
8,64.9688
9,59.927
10,57.5042
11,54.518
12,53.1914
13,52.8044
14,53.3912
15,54.7538
16,57.317
17,60.0296
18,63.3578
19,64.346
20,63.6584
21,61.5848
22,58.0028
23,54.842
24,53.1554
25,52.3094
26,52.61
27,57.407
28,58.1558
29,60.9206
30,61.8422
31,62.033
32,62.1266
33,59.801
34,55.4288
35,53.2688
36,50.9306
37,51.5516
38,52.8494
39,53.9078
40,55.5854
41,63.7466
42,63.5648
43,63.1166
44,62.1446
45,58.5608
46,53.8034
47,52.9538
48,52.6676
49,52.3364
50,53.3354
51,53.9888
52,56.4602
53,59.5634
54,61.0502
55,63.3416
56,62.8052
57,57.5726
58,55.0436
59,53.4056
60,51.0404
61,52.4174
62,53.5388
63,54.6008
64,57.254
65,62.276
66,64.5872
67,65.4764
68,63.0788
69,61.016
70,57.407
71,54.3794
72,52.7036
73,51.89
74,52.3202
75,57.3152
76,58.595
77,61.4156
78,65.2388
79,65.804
80,63.7088
81,62.105
82,58.3124
83,55.3352
84,52.6028
85,51.4688
86,52.9808
87,55.7942
88,60.0872
89,64.9634
90,63.9734
91,68.9846
92,65.6078
93,63.0572
94,60.3302
95,57.7382
96,54.6116
97,52.3562
98,55.2866
99,58.3754
100,60.6596
101,64.2272
102,64.283
103,68.4356
104,65.9192
105,62.0546
106,57.542
107,54.3596
108,54.4784
109,53.5118
110,56.0588
111,55.9904
112,60.6974
113,62.2904
114,65.9498
115,64.2596
116,63.6476
117,58.6634
118,57.0434
119,54.113
120,52.7378
121,50.9648
122,51.998
123,55.1426
124,55.328
125,59.7524
126,67.3232
127,68.0738
128,64.0526
129,63.0752
130,58.01
131,55.0634
132,55.4144
133,50.7146
134,55.904
135,58.3358
136,61.8296
137,66.3548
138,66.8336
139,67.5932
140,65.3756
141,61.6586
142,56.867
143,53.8502
144,52.3886
145,52.124
146,54.1544
147,55.0238
148,59.4608
149,61.8836
150,66.3566
151,68.846
152,66.1676
153,61.5794
154,57.812
155,53.7026
156,54.5684
157,54.6854
158,56.7734
159,59.3294
160,63.3092
161,66.191
162,68.5094
163,66.992
164,64.5098
165,62.7998
166,57.4934
167,52.9466
168,54.6908
169,52.8314
170,55.5782
171,57.209
172,57.3314
173,63.041
174,63.7088
175,62.9726
176,63.3146
177,60.2762
178,56.8994
179,54.005
180,53.5982
181,52.052
182,53.7008
183,55.3118
184,58.5104
185,60.7874
186,64.7744
187,65.1074
188,63.2642
189,61.1204
190,56.66
191,54.8294
192,51.449
193,52.9124
194,53.8574
195,55.9886
196,59.4338
197,62.9906
198,65.3702
199,65.9174
200,64.382
201,60.0296
202,57.7994
203,56.1974
204,53.3066
205,52.9034
206,54.1166
207,57.0704
208,61.1492
209,59.1656
210,62.915
211,64.0076
212,63.338
213,59.6606
214,58.2116
215,54.77
216,54.1724
217,52.556
218,53.0798
219,55.9292
220,58.5752
221,61.3958
222,66.4898
223,68.0234
224,64.1642
225,61.9844
226,59.2718
227,55.184
228,54.005
229,51.9728
230,54.725
231,55.328
232,60.125
233,65.6204
234,64.2056
235,64.6934
236,64.9202
237,60.161
238,58.3592
239,55.4774
240,52.6298
241,53.3606
242,54.2048
243,56.3846
244,59.3672
245,63.9068
246,66.3242
247,66.3098
248,65.3252
249,61.0412
250,57.8102
251,54.1598
252,52.1906
253,53.7998
254,54.9284
255,54.9644
256,59.0234
257,61.88
258,64.58
259,66.9002
260,64.328
261,63.2516
262,58.1936
263,55.283
264,54.3596
265,52.3022
266,52.7882
267,55.8266
268,57.7958
269,63.6638
270,65.3684
271,66.191
272,65.5322
273,61.9322
274,58.2872
275,55.0526
276,53.9006
277,53.2256
278,54.5594
279,58.4798
280,60.8378
281,61.7522
282,64.5638
283,65.4908
284,64.9724
285,59.9396
286,56.6096
287,54.2228
288,51.7082
289,53.0798
290,53.4452
291,56.5988
292,59.7758
293,61.889
294,62.4236
295,63.1724
296,64.0778
297,62.186
298,56.1326
299,55.4378
300,52.4426
301,51.7064
302,56.057
303,56.237
304,60.3158
305,64.8428
306,64.2218
307,63.4064
308,64.6448
309,58.9316
310,58.8992
311,54.2822
312,52.457
313,52.3832
314,55.8914
315,56.2028
316,60.5894
317,62.8142
318,65.156
319,67.4546
320,65.849
321,62.5262
322,58.9658
323,54.149
324,53.447
325,52.9862
326,55.6736
327,56.372
328,60.2996
329,61.88
330,62.8358
331,66.5078
332,65.1218
333,62.3894
334,58.1054
335,55.724
336,53.7368
337,53.5478
338,54.7124
339,56.4116
340,59.909
341,61.3328
342,63.95
343,64.0076
344,65.8814
345,62.3336
346,56.9372
347,55.7726
348,53.2382
349,52.5848
350,55.3298
351,55.2326
352,57.9938
353,63.0734
354,66.4988
355,67.5698
356,66.0056
357,59.7668
358,57.5726
359,54.7052
