Temperature,Relative Humidity
36.9572,52.3886
34.5488,52.853
33.5498,52.5776
33.638,54.8726
33.9836,56.6888
34.2518,59.846
37.5062,64.5908
36.23,65.372
35.6576,64.9688
35.3966,59.927
35.2022,57.5042
34.511,54.518
34.7972,53.1914
35.024,52.8044
34.3544,53.3912
33.683,54.7538
37.4108,57.317
35.0024,60.0296
35.924,63.3578
36.0716,64.346
37.13,63.6584
34.3058,61.5848
34.7594,58.0028
34.1996,54.842
33.7568,53.1554
33.5048,52.3094
34.8422,52.61
34.1042,57.407
34.2302,58.1558
33.7622,60.9206
35.7026,61.8422
37.9166,62.033
37.8878,62.1266
35.9114,59.801
36.2966,55.4288
36.2642,53.2688
35.5856,50.9306
36.6656,51.5516
36.3308,52.8494
34.8008,53.9078
37.8698,55.5854
37.6772,63.7466
34.6208,63.5648
35.9654,63.1166
37.9544,62.1446
36.2156,58.5608
35.744,53.8034
37.3208,52.9538
34.2572,52.6676
33.5102,52.3364
33.5246,53.3354
33.7424,53.9888
34.826,56.4602
36.635,59.5634
38.6168,61.0502
40.5032,63.3416
35.8844,62.8052
36.8564,57.5726
39.1532,55.0436
39.0002,53.4056
34.5164,51.0404
35.753,52.4174
33.9206,53.5388
33.6758,54.6008
35.2004,57.254
36.608,62.276
34.5866,64.5872
34.0592,65.4764
33.8522,63.0788
35.7314,61.016
34.7756,57.407
34.8746,54.3794
34.5668,52.7036
33.2924,51.89
34.349,52.3202
33.5084,57.3152
34.0232,58.595
35.1392,61.4156
35.3012,65.2388
36.3524,65.804
35.2274,63.7088
35.357,62.105
34.133,58.3124
33.386,55.3352
34.844,52.6028
33.6146,51.4688
35.2436,52.9808
33.818,55.7942
33.3032,60.0872
35.5496,64.9634
40.3448,63.9734
36.6116,68.9846
38.003,65.6078
34.7774,63.0572
36.1778,60.3302
36.32,57.7382
36.41,54.6116
34.3418,52.3562
33.413,55.2866
34.3436,58.3754
36.2282,60.6596
35.3714,64.2272
34.8206,64.283
35.9618,68.4356
37.9508,65.9192
36.2732,62.0546
36.869,57.542
34.5362,54.3596
34.5884,54.4784
36.6296,53.5118
35.1788,56.0588
36.2642,55.9904
35.0258,60.6974
36.176,62.2904
36.2318,65.9498
35.8754,64.2596
38.1938,63.6476
33.4778,58.6634
36.4208,57.0434
34.9592,54.113
35.0888,52.7378
36.473,50.9648
36.4622,51.998
35.0942,55.1426
36.4136,55.328
36.9932,59.7524
34.1114,67.3232
34.5272,68.0738
38.0174,64.0526
35.2328,63.0752
36.8744,58.01
35.1392,55.0634
34.2806,55.4144
33.89,50.7146
35.4272,55.904
35.0474,58.3358
34.0502,61.8296
35.3516,66.3548
35.699,66.8336
34.2896,67.5932
34.3958,65.3756
33.53,61.6586
34.1438,56.867
34.1672,53.8502
34.538,52.3886
34.0268,52.124
33.6254,54.1544
33.35,55.0238
33.6866,59.4608
33.6542,61.8836
34.5542,66.3566
34.7252,68.846
35.87,66.1676
37.0598,61.5794
33.9728,57.812
35.6576,53.7026
33.3356,54.5684
35.5928,54.6854
35.4722,56.7734
34.8548,59.3294
35.5748,63.3092
36.5792,66.191
33.9656,68.5094
33.8522,66.992
33.7244,64.5098
34.1978,62.7998
34.169,57.4934
33.1286,52.9466
33.1952,54.6908
33.7262,52.8314
33.9566,55.5782
33.3356,57.209
33.1304,57.3314
36.9788,63.041
34.8782,63.7088
33.5264,62.9726
35.492,63.3146
34.3634,60.2762
35.9942,56.8994
34.4786,54.005
33.782,53.5982
34.1078,52.052
33.4994,53.7008
33.3518,55.3118
33.566,58.5104
34.1096,60.7874
34.1708,64.7744
36.3254,65.1074
36.3668,63.2642
33.8342,61.1204
34.7054,56.66
33.5678,54.8294
33.935,51.449
33.2942,52.9124
33.3734,53.8574
33.1178,55.9886
33.7802,59.4338
33.0458,62.9906
35.015,65.3702
33.7406,65.9174
34.394,64.382
33.9476,60.0296
34.0466,57.7994
33.98,56.1974
33.9854,53.3066
33.4436,52.9034
33.107,54.1166
33.6362,57.0704
33.728,61.1492
34.7918,59.1656
34.3742,62.915
34.3184,64.0076
35.1644,63.338
33.8234,59.6606
33.6416,58.2116
33.0944,54.77
32.9648,54.1724
32.981,52.556
33.3392,53.0798
33.1142,55.9292
33.872,58.5752
33.692,61.3958
33.7352,66.4898
36.6854,68.0234
34.6784,64.1642
33.9134,61.9844
35.069,59.2718
33.6362,55.184
33.908,54.005
33.674,51.9728
33.9512,54.725
33.2042,55.328
33.4904,60.125
33.7838,65.6204
35.3786,64.2056
34.1366,64.6934
33.4868,64.9202
33.8072,60.161
35.1158,58.3592
33.4724,55.4774
33.1826,52.6298
33.2186,53.3606
32.801,54.2048
33.809,56.3846
33.5138,59.3672
33.1106,63.9068
33.4904,66.3242
34.8296,66.3098
34.2734,65.3252
34.5434,61.0412
33.8036,57.8102
33.9134,54.1598
34.3436,52.1906
33.3482,53.7998
33.026,54.9284
32.8478,54.9644
33.0224,59.0234
33.2366,61.88
33.7172,64.58
33.6434,66.9002
34.2158,64.328
33.3932,63.2516
33.9026,58.1936
33.4238,55.283
33.7712,54.3596
33.5912,52.3022
32.8604,52.7882
33.1052,55.8266
33.0854,57.7958
33.8144,63.6638
33.6596,65.3684
33.764,66.191
33.6992,65.5322
33.7802,61.9322
33.7154,58.2872
33.188,55.0526
34.5218,53.9006
33.9188,53.2256
33.4616,54.5594
32.7956,58.4798
33.4634,60.8378
33.9296,61.7522
34.5758,64.5638
34.5128,65.4908
34.7774,64.9724
33.3734,59.9396
34.2932,56.6096
33.3482,54.2228
34.8152,51.7082
33.215,53.0798
33.8036,53.4452
33.1988,56.5988
33.5372,59.7758
33.6866,61.889
35.7062,62.4236
34.3778,63.1724
35.1212,64.0778
34.2644,62.186
33.9962,56.1326
34.052,55.4378
33.7982,52.4426
33.5354,51.7064
33.5192,56.057
33.692,56.237
33.4418,60.3158
34.2428,64.8428
34.4606,64.2218
33.7712,63.4064
33.9836,64.6448
33.1502,58.9316
34.4192,58.8992
34.0988,54.2822
33.449,52.457
33.8054,52.3832
33.4094,55.8914
33.341,56.2028
33.3374,60.5894
33.4724,62.8142
33.5606,65.156
34.0232,67.4546
33.9008,65.849
33.476,62.5262
33.8288,58.9658
33.2708,54.149
33.2654,53.447
33.6704,52.9862
33.6758,55.6736
33.305,56.372
34.0718,60.2996
34.7792,61.88
34.1312,62.8358
34.475,66.5078
33.6884,65.1218
33.485,62.3894
33.3518,58.1054
33.9026,55.724
34.5056,53.7368
33.152,53.5478
33.233,54.7124
33.053,56.4116
33.2996,59.909
35.2616,61.3328
34.25,63.95
34.421,64.0076
33.989,65.8814
33.2366,62.3336
33.485,56.9372
33.4796,55.7726
33.5336,53.2382
33.0746,52.5848
33.9098,55.3298
32.9594,55.2326
33.0278,57.9938
33.6866,63.0734
33.3212,66.4988
34.4948,67.5698
33.9692,66.0056
34.2698,59.7668
32.9648,57.5726
33.062,54.7052
32.9018,
